//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//奇迹数据管理 V24
//MuEdit3.X
//游戏版本：[S6EP3]ITG
//商店名称：[254]魔导士帕希
//[软件定制][服务器维护][一条龙开区]
//              Falcon黄ヤ金 QQ：86339218
//              奇迹技术交流群 ：16527369
//编辑时间：2024年9月19日13时3分44秒
//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//[1]大编号
//[2]小编号
//[3]等级
//[4]耐久
//[5]技能
//[6]幸运
//[7]追加
//[8]卓越
//[9]套装
//[10]强化
//[11]强化值
//[12]镶嵌1
//[13]镶嵌2
//[14]镶嵌3
//[15]镶嵌4
//[16]镶嵌5
//[17]物品信息
//[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
15	0	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>毒咒术
15	1	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>陨石术
15	2	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>掌心雷术
15	3	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>火球术
15	4	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>火龙术
15	5	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>瞬间移动术
15	6	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>冰封术
15	7	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>龙卷风术
15	8	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>黑龙波术
15	9	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>地狱火术
15	10	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>真空波术
15	11	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>极光术
15	13	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>毁灭烈焰术
15	14	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>小挪移术
15	15	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>守护之魂术

end
