//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//奇迹数据管理 V24
//MuEdit3.X
//游戏版本：[S6EP3]ITG
//商店名称：[416]雷亚
//[软件定制][服务器维护][一条龙开区]
//              Falcon黄ヤ金 QQ：86339218
//              奇迹技术交流群 ：16527369
//编辑时间：2024年9月19日13时28分6秒
//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//[1]大编号
//[2]小编号
//[3]等级
//[4]耐久
//[5]技能
//[6]幸运
//[7]追加
//[8]卓越
//[9]套装
//[10]强化
//[11]强化值
//[12]镶嵌1
//[13]镶嵌2
//[14]镶嵌3
//[15]镶嵌4
//[16]镶嵌5
//[17]物品信息
//[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
7	39	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>飓风之盔
7	40	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>红翼之盔
7	41	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>远古之盔
5	15	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>飓风之杖
5	16	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>红翼之杖
8	39	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>飓风之铠
8	40	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>红翼之铠
8	41	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>远古之铠
9	39	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>飓风之护腿
9	40	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>红翼之护腿
9	41	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>远古之护腿
5	17	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>远古之杖
5	21	0	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>火龙兽之书
10	39	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>飓风之护手
10	40	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>红翼之护手
10	41	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>远古之护手
5	22	0	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>异灵之书
11	39	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>飓风之靴
11	40	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>红翼之靴
11	41	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>远古之靴

end
