//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//奇迹数据管理 V24
//MuEdit3.X
//游戏版本：[S6EP3]ITG
//商店名称：[255]老板娘莉雅
//[软件定制][服务器维护][一条龙开区]
//              Falcon黄ヤ金 QQ：86339218
//              奇迹技术交流群 ：16527369
//编辑时间：2024年9月19日11时41分
//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//[1]大编号
//[2]小编号
//[3]等级
//[4]耐久
//[5]技能
//[6]幸运
//[7]追加
//[8]卓越
//[9]套装
//[10]强化
//[11]强化值
//[12]镶嵌1
//[13]镶嵌2
//[14]镶嵌3
//[15]镶嵌4
//[16]镶嵌5
//[17]物品信息
//[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
14	2	1	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+1Z0]=>中瓶治疗药水
14	5	1	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+1Z0]=>中瓶魔力药水
14	23	0	1	0	0	0	1	0	0	0	255	255	255	255	255	//[+0Z0]=>卓越=>帝王之书
14	25	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>精灵之泪
14	26	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>先知之魂
14	24	0	1	0	0	0	1	0	0	0	255	255	255	255	255	//[+0Z0]=>卓越=>断魂之剑
14	65	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>炽炎魔的火种
14	66	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>丛林召唤者的角
14	67	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>天魔菲尼斯的羽毛
14	68	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>深渊之眼
14	23	1	1	0	0	0	2	0	0	0	255	255	255	255	255	//[+1Z0]=>卓越=>荣誉戒指
14	24	1	1	0	0	0	2	0	0	0	255	255	255	255	255	//[+1Z0]=>卓越=>暗黑之石
13	0	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>守护天使
13	1	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>小恶魔

end
