//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//奇迹数据管理 V24
//MuEdit3.X
//游戏版本：[S6EP3]ITG
//商店名称：[251]铁匠汉斯
//[软件定制][服务器维护][一条龙开区]
//              Falcon黄ヤ金 QQ：86339218
//              奇迹技术交流群 ：16527369
//编辑时间：2024年9月19日12时52分59秒
//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//[1]大编号
//[2]小编号
//[3]等级
//[4]耐久
//[5]技能
//[6]幸运
//[7]追加
//[8]卓越
//[9]套装
//[10]强化
//[11]强化值
//[12]镶嵌1
//[13]镶嵌2
//[14]镶嵌3
//[15]镶嵌4
//[16]镶嵌5
//[17]物品信息
//[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
7	0	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>青铜盔
7	6	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>翡翠盔
7	25	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>圣元之盔
8	20	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>奔雷之铠
8	0	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>青铜铠
8	6	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>翡翠铠
8	25	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>圣元之铠
9	20	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>奔雷护腿
9	0	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>青铜护腿
9	6	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>翡翠护腿
9	25	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>圣元护腿
10	20	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>奔雷护手
10	0	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>青铜护手
10	6	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>翡翠护手
10	25	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>圣元护手
11	20	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>奔雷之靴
11	0	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>青铜靴
11	6	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>翡翠靴
11	25	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>圣元之靴

end
