//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//奇迹数据管理 V24
//MuEdit3.X
//游戏版本：[S6EP3]ITG
//商店名称：[242]精灵安吉拉
//[软件定制][服务器维护][一条龙开区]
//              Falcon黄ヤ金 QQ：86339218
//              奇迹技术交流群 ：16527369
//编辑时间：2024年9月19日13时32分23秒
//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//[1]大编号
//[2]小编号
//[3]等级
//[4]耐久
//[5]技能
//[6]幸运
//[7]追加
//[8]卓越
//[9]套装
//[10]强化
//[11]强化值
//[12]镶嵌1
//[13]镶嵌2
//[14]镶嵌3
//[15]镶嵌4
//[16]镶嵌5
//[17]物品信息
//[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
14	1	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>小瓶治疗药水
14	2	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>中瓶治疗药水
14	3	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>大瓶治疗药水
14	4	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>小瓶魔力药水
14	5	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>中瓶魔力药水
14	6	0	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>大瓶魔力药水
12	8	0	1	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>治疗之石
12	9	0	1	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>防御之石
12	10	0	1	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>攻击之石
12	11	0	1	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>召唤之石
12	17	0	1	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>穿透箭之石
12	18	0	1	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>冰封箭之石
12	45	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>五重箭之石
4	7	1	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+1Z0]=>弩箭
4	7	2	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>弩箭
4	7	3	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+3Z0]=>弩箭
4	15	0	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>弓箭
4	15	1	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+1Z0]=>弓箭
4	15	2	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>弓箭
4	15	3	255	0	0	0	0	0	0	0	255	255	255	255	255	//[+3Z0]=>弓箭
4	2	0	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>精灵之弓
4	9	0	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>技能=>幸运=>强化=>黄金石弩

end
